NORMALITY:
                                                         W      pval  normal
 retweets_distilbert_True_RandomForestClassifier     retweets_roberta_True_RandomForestClassifier    0.024 0.6876 -0.0104  0.0585  False
 retweets_distilbert_True_RandomForestClassifier            retweets_roberta_True_RidgeClassifier    0.024 0.6876 -0.0104  0.0585  False
 retweets_distilbert_True_RandomForestClassifier              retweets_roberta_True_XGBClassifier     0.04 0.0044  0.0056  0.0745   True
 retweets_distilbert_True_RandomForestClassifier          retweets_structured_False_MLPClassifier  -0.0858  0.001 -0.1202 -0.0514   True
 retweets_distilbert_True_RandomForestClassifier retweets_structured_False_RandomForestClassifier  -0.0711  0.001 -0.1056 -0.0367   True
 retweets_distilbert_True_RandomForestClassifier        retweets_structured_False_RidgeClassifier  -0.0711  0.001 -0.1056 -0.0367   True
 retweets_distilbert_True_RandomForestClassifier          retweets_structured_False_XGBClassifier  -0.0798  0.001 -0.1142 -0.0454   True
        retweets_distilbert_True_RidgeClassifier           retweets_distilbert_True_XGBClassifier  -0.0018    0.9 -0.0362  0.0327  False
        retweets_distilbert_True_RidgeClassifier            retweets_fasttext_False_MLPClassifier  -0.0138    0.9 -0.0482  0.0206  False
        retweets_distilbert_True_RidgeClassifier   retweets_fasttext_False_RandomForestClassifier  -0.0051    0.9 -0.0395  0.0293  False
        retweets_distilbert_True_RidgeClassifier          retweets_fasttext_False_RidgeClassifier  -0.0051    0.9 -0.0395  0.0293  False
        retweets_distilbert_True_RidgeClassifier            retweets_fasttext_False_XGBClassifier   0.0018    0.9 -0.0327  0.0362  False
        retweets_distilbert_True_RidgeClassifier             retweets_fasttext_True_MLPClassifier  -0.0073    0.9 -0.0418  0.0271  False
        retweets_distilbert_True_RidgeClassifier    retweets_fasttext_True_RandomForestClassifier  -0.0002    0.9 -0.0347  0.0342  False
        retweets_distilbert_True_RidgeClassifier           retweets_fasttext_True_RidgeClassifier  -0.0002    0.9 -0.0347  0.0342  False
